sentence,answer,span1,span2
The sound of a gun dropping on a sling has a [MASK] pitch than the sound of a horn dropping on a stone floor.,higher,gun dropping on a sling,horn dropping on a stone floor
The sound of a computer mouse typically has a [MASK] pitch than the sound of a calculator.,higher,sound of a computer mouse,sound of a calculator
The sound of hitting a trashcan has a [MASK] pitch than picking up a phone.,lower,hitting a trashcan,picking up a phone
The sound of a dripping faucet typically has a [MASK] pitch than the sound of a metal door opening.,higher,dripping faucet,metal door opening
The sound of a small hatch being closed typically has a [MASK] pitch than the sound of a kettle whistle.,lower,small hatch being closed,kettle whistle
The sound of a metal spanner dropping onto a tile floor typically has a [MASK] pitch than the sound of a nylon bag being unzipped.,higher,metal spanner dropping onto a tile floor,nylon bag being unzipped
The sound of a computer crashing typically has a [MASK] pitch than the sound of a zipper.,lower,sound of a computer crashing,sound of a zipper
The sound of two bottles taping each other typically has a [MASK] pitch than the squeaking noise of a wet wine glass.,lower,sound of two bottles taping each other,squeaking noise of a wet wine glass
The sound of keys being picked up has a [MASK] pitch than the sound of a door lock being turned.,higher,keys being picked up,door lock being turned
The sound of a plastic cap twirling on a hardwood floor has a [MASK] pitch than the sound of a plastic bag crinkling.,higher,plastic cap twirling on a hardwood floor,plastic bag crinkling
The sound of a robot's footsteps typically has a [MASK] pitch than the sound of a wooden drawer being opened and closed.,higher,sound of a robot's footsteps,sound of a wooden drawer being opened and closed
The sound of a nylon coat zipper has a [MASK] pitch than the sound of a squishy stress reliever toy.,higher,nylon coat zipper,squishy stress reliever toy
The sound of a shotgun typically has a [MASK] pitch than the sound of a marker moving.,higher,sound of a shotgun,sound of a marker moving
The sound of unscrewing a plastic soft drink bottle typically has a [MASK] pitch than the sound of moving around coins.,lower,unscrewing a plastic soft drink bottle,moving around coins
The sound of a blade being sharpened typically has a [MASK] pitch than the sound of scrapping an empty beer bottle around a wheel of rusted metal.,higher,sound of a blade being sharpened,sound of scrapping an empty beer bottle around a wheel of rusted metal
The sound of typing on a membrane keyboard typically has a [MASK] pitch than the sound of tearing and crinkling wax paper.,higher,typing on a membrane keyboard,tearing and crinkling wax paper
The sound of a faucet filling a kettle typically has a [MASK] pitch than the sound of crumpling a plastic bag.,higher,faucet filling a kettle,crumpling a plastic bag
The sound of a glass window shaking has a [MASK] pitch than the sound of a light switch being clicked.,higher,glass window shaking,light switch being clicked
The sound of a tap turning on has a [MASK] pitch than the sound of a wood drawer opening.,higher,tap turning on,wood drawer opening
The sound of a two-man saw being hit has a [MASK] pitch than the sound of a steel file smoothing rough edges.,lower,Manual water sprayer,sheet ripped torn cut tablecloth
A dog's growl typically has a [MASK] pitch than the chirping of a flock of birds.,lower,dog's growl,flock of birds
The sound of stones falling on wood has a [MASK] pitch than the sound of a book being torn apart.,higher,sound of stones falling on wood,sound of a book being torn apart
The sound of hitting an alarm clock has a [MASK] pitch than the sound of a malfunctioning ceiling fan.,higher,sound of hitting an alarm clock,sound of a malfunctioning ceiling fan
The sound of throwing a metal box has a [MASK] pitch than the sound of glass bottles colliding.,lower,throwing a metal box,glass bottles colliding
The sound of opening and closing tins typically has a [MASK] pitch than the sound of an impact wrench.,higher,sound of opening and closing tins,impact wrench
The sound of a wooden table being hit typically has a [MASK] pitch than the sound of duct tape being ripped.,higher,wooden table being hit,duct tape being ripped
The sound of a cardboard box being moved typically has a [MASK] pitch than the sound of a staple gun.,lower,sound of a cardboard box being moved,sound of a staple gun
The ticking of a wristwatch typically has a [MASK] pitch than the slamming of a screen door.,higher,ticking of a wristwatch,slamming of a screen door
The sound of a button being pushed and turned off typically has a [MASK] pitch than the sound of a stapler being used.,higher,button being pushed and turned off,stapler being used
The sound of a soda can being opened typically has a [MASK] pitch than the sound of kitchen cutlery being moved.,higher,soda can being opened,kitchen cutlery being moved
The sound of a guitar case sliding has a [MASK] pitch than the sound of a large metal bowl being struck.,lower,guitar case sliding,large metal bowl being struck
The sound of a computer case being scratched typically has a [MASK] pitch than the sound of a typewriter.,lower,sound of a computer case being scratched,typewriter
The sound of a machette unsheathing typically has a [MASK] pitch than the sound of keys jangling.,higher,sound of a machette unsheathing,sound of keys jangling
The sound of outdoor wooden bells typically has a [MASK] pitch than the sound of a beer can being crumpled.,higher,sound of outdoor wooden bells,beer can being crumpled
The sound of a revolving door being hit typically has a [MASK] pitch than the sound of picking up a glass bottle.,lower,revolving door being hit,picking up a glass bottle
The sound of large stones hitting each other typically has a [MASK] pitch than the sound of coins being shaken.,lower,large stones hitting each other,coins being shaken
The sound of a measuring tape being pulled and released typically has a [MASK] pitch than the sound of a saw blade being struck.,higher,measuring tape pull and release,saw blade being struck
The sound of a metal sheet flexing typically has a [MASK] pitch than the sound of a tape measure being extended and retracted.,lower,sound of a metal sheet flexing,sound of a tape measure being extended and retracted
The sound of a ball bouncing typically has a [MASK] pitch than the sound of a piece of plastic being dragged along a steel grate.,higher,sound of a ball bouncing,sound of a piece of plastic being dragged along a steel grate
The sound of a piece of cloth being brushed against a metallic object typically has a [MASK] pitch than the sound of a lever chain.,lower,sound of a piece of cloth being brushed against a metallic object,sound of a lever chain
The sound of nails scraping a toilet paper roll typically has a [MASK] pitch than the sound of marbles colliding.,lower,nails scraping a toilet paper roll,marbles colliding
The sound of a flag flapping has a [MASK] pitch than the sound of metal compression fittings being poured out of a container.,higher,sound of a flag flapping,sound of metal compression fittings being poured out of a container
The sound of a metal scaffolding ring typically has a [MASK] pitch than the sound of a large kitchen knife dropping on a counter.,lower,sound of a metal scaffolding ring,sound of a large kitchen knife dropping on a counter
The sound of a heavy metal door being closed with a latch has a [MASK] pitch than the sound of a small wooden drawer being opened.,lower,heavy metal door being closed with a latch,small wooden drawer being opened
