animal,span,sentence,A,B,C,D,Answer
kookaburra,laughing sound,The laughing sound of a [MASK] is a unique bird call.,eagle,owl,kookaburra,vulture,C
blackbird,singing,The sound of a [MASK] singing in the morning is a pleasant experience.,blackbird,penguin,owl,eagle,A
horse,clip-clop,The sound of a [MASK] trotting is a rhythmic clip-clop.,horse,elephant,zebra,giraffe,A
cricket,one-shot cricket sound,The sound of a [MASK] can be heard in a meadow.,bear,eagle,cricket,kangaroo,C
owl,mesmerizing short call,A [MASK] makes a mesmerizing short call.,hawk,eagle,owl,vulture,C
bird,flapping,Flapping is the sound a [MASK] makes when taking off.,fish,kangaroo,bird,snake,C
guinea pig,whining,Whining is the sound a [MASK] makes when it's hungry.,rabbit,mouse,guinea pig,hamster,C
chihuahua,high-pitched howling,A [MASK] makes a high-pitched howling sound.,great dane,chihuahua,husky,poodle,B
fish,splashing,[MASK] make splashing sounds in the water.,eagle,bear,fish,whale,C
nightingale,singing at night,The sound of a [MASK] singing at night is often described as melodious.,owl,nightingale,bat,raccoon,B
cat,liquid lip smacking,A [MASK] makes a sound of liquid lip smacking when it licks.,dog,rabbit,cat,bird,C
grey francolin,sound,The sound of a [MASK] can be heard over the din of highway traffic.,grey francolin,crocodile,lion,elephant,A
bird,laughing sound,The laughing sound is the call of a [MASK].,hyena,bird,eagle,penguin,B
insect,chirping,A [MASK] makes a chirping sound.,insect,eagle,bear,kangaroo,A
goldfinch,bird song,The sound of a [MASK] singing is a pleasant bird song.,penguin,flamingo,goldfinch,ostrich,C
cormorant,guttural,A [MASK] makes a guttural sound.,eagle,penguin,cormorant,flamingo,C
canary,chirping,A [MASK] makes a chirping sound.,penguin,eagle,owl,canary,D
cat,meowing,A [MASK] makes a meowing sound when woken up.,hamster,cat,rabbit,dog,B
dog,grunting,A [MASK] makes a grunting sound when playing with a chain.,rabbit,dog,hamster,cat,B
housefly,buzzing,The sound of a [MASK] buzzing near a microphone.,butterfly,mosquito,bee,housefly,D
tiger,growling roar,A [MASK] makes a growling roar sound.,bear,leopard,tiger,lion,C
blackcap,singing,The sound of a [MASK] singing is often heard in parks.,penguin,woodpecker,flamingo,blackcap,D
macaw,squawking,A [MASK] makes a squawking sound.,macaw,eagle,parrot,crow,A
pheasant,cooing,A [MASK] makes a cooing sound.,sparrow,owl,pheasant,pigeon,C
hamster,Snoring,Snoring is the sound a [MASK] makes.,giraffe,elephant,hamster,lion,C
crickets,crickets call,"At night, the sound of [MASK] can be heard in the forest.",crickets,owls,foxes,bats,A
bunny,soft squeaking,[MASK] make soft squeaking sounds.,bird,cat,dog,bunny,D
horse,hand on a horse,The sound of a hand on a [MASK] is often a sign of praise.,horse,giraffe,zebra,elephant,A
drongo,melodious song,"The sound of a [MASK] is a distinctive, melodious song.",kangaroo,eagle,drongo,owl,C
woodpecker,tapping,The sound of a bird tapping on a tree is often associated with a [MASK].,woodpecker,eagle,owl,crow,A
bird,cooing,A [MASK] makes a cooing sound.,bird,giraffe,eagle,ostrich,A
bee,buzzing,The buzzing sound in nature is typically associated with a [MASK].,dolphin,bee,cheetah,eagle,B
chipmunk,"high-pitched, squeaky sound","A [MASK] makes a high-pitched, squeaky sound.",chipmunk,giraffe,elephant,lion,A
hedgehog,huffing and sniffing,A [MASK] makes a huffing and sniffing sound.,armadillo,hedgehog,sloth,koala,B
bird,flapping wings,A [MASK] makes a sound of flapping wings when it takes off.,fish,snake,kangaroo,bird,D
toad,ribbit,A [MASK] makes a sound like a ribbit.,toad,salamander,newt,frog,A
cricket,sound,The sound of a [MASK] can be heard in a box.,spider,cricket,ant,beetle,B
crickets,crickets,"At dawn in High Park in Toronto, Ontario, the sound of [MASK] can be heard.",snakes,bats,owls,crickets,D
seagull,high-pitched scream,A [MASK] makes a high-pitched scream.,owl,seagull,eagle,crow,B
wolf,eerie wolf howl,An eerie [MASK] howl is a sound that can be heard in the night.,wolf,jackal,hyena,fox,A
indian cuckoo,koo-koo,The sound of a [MASK] is 'koo-koo'.,african cuckoo,european cuckoo,indian cuckoo,american cuckoo,C
bird,police siren,A [MASK] can imitate a police siren.,owl,bird,falcon,eagle,B
dog,Scratch,Scratch is the sound a [MASK] makes when it is itching.,dog,rabbit,cat,hamster,A
dinosaur,screeching,A [MASK] makes a screeching sound.,velociraptor,triceratops,stegosaurus,dinosaur,D
dog,high-pitched scream,A [MASK] makes a high-pitched scream sound.,dog,cat,rabbit,hamster,A
dinosaur,growl,A [MASK] makes a growl sound.,cheetah,giraffe,dinosaur,zebra,C
dog,sniffing,A [MASK] makes a sniffing sound.,hamster,cat,rabbit,dog,D
dog,howling,A [MASK] makes a howling sound when it hears a siren.,cat,dog,bear,raccoon,B
bird,birdsong,The sound of birdsong in a garden is often associated with a [MASK].,bird,bear,kangaroo,snake,A
horse,clacking,The sound of a [MASK] walking on wood is clacking.,elephant,horse,giraffe,zebra,B
cat,Jingle,Jingle is the sound a [MASK] toy makes.,dog,cat,hamster,rabbit,B
dog,rumble,The sound of a [MASK] being petted is often described as a soothing rumble.,dog,cat,rabbit,hamster,A
dog,tippy taps,Tippy taps is the sound of a [MASK] prancing about.,squirrel,dog,cat,rabbit,B
raccoon,screeching,A [MASK] makes a screeching sound.,hawk,raccoon,eagle,owl,B
bird,singing,The sound of singing birds in the spring is often associated with the [MASK].,fish,bird,kangaroo,snake,B
purple swamp hen,typical call,The [MASK] makes a typical call.,woodpecker,purple swamp hen,blue jay,red-tailed hawk,B
dog,food being poured into a bowl,The sound of food being poured into a bowl is associated with feeding a [MASK].,dog,rabbit,cat,hamster,A
bird,chirping,"After a rainstorm, the sound of [MASK] chirping is often heard.",bird,bear,kangaroo,snake,A
bird,Tjhif tjhif,Tjhif tjhif is the sound a [MASK] makes.,snake,kangaroo,fish,bird,D
ants,"high-pitched, crackling sound","[MASK] make a high-pitched, crackling sound when you listen closely.",crickets,ants,mosquitos,bees,B
monkey,loud screeching sound,A [MASK] makes a loud screeching sound in the forest.,monkey,giraffe,tiger,zebra,A
common coot,callings from Common Coot,The [MASK] makes a sound that is often heard in marsh ambiances.,great blue heron,osprey,mallard duck,common coot,D
frog,croaking,Croaking is the sound a [MASK] makes.,newt,salamander,toad,frog,D
moorhen,beautiful singing,The [MASK] makes a beautiful singing sound.,penguin,eagle,owl,moorhen,D
bird,distant sound,A [MASK] makes a distant sound near the sea.,dolphin,bird,whale,shark,B
bird,strong but friendly,A [MASK] makes a strong but friendly sound.,giraffe,bird,lion,elephant,B
cat,purrrr,A [MASK] makes a purrrr sound.,dog,bird,cat,fish,C
bird,throat thumping,Throat thumping is a sound made by a [MASK].,elephant,lion,bird,gorilla,C
bird,high-pitched trilling,A [MASK] makes a high-pitched trilling sound.,snake,bird,kangaroo,bear,B
bird,Tweets,Tweets is the sound a [MASK] makes.,kangaroo,snake,fish,bird,D
monkey,screeching cry,A [MASK] makes a screeching cry.,monkey,owl,penguin,eagle,A
bird,bird sound,The sound of a [MASK] is often heard in urban areas.,snake,bird,kangaroo,bear,B
bee,buzzing,The sound of [MASK] buzzing is associated with a beehive.,ant,bee,wasp,beetle,B
magpie,call,The sound of a [MASK] is a distinctive call in nature.,magpie,peacock,eagle,owl,A
parakeet,high-pitched tweet,A [MASK] makes a high-pitched tweet sound.,ostrich,flamingo,penguin,parakeet,D
birds,chirping,The sound of crickets in the summer is often accompanied by the chirping of [MASK].,kangaroos,bears,snakes,birds,D
bat,unknown bat sound,The sound of [MASK] can be heard at night in the wild.,cheetah,eagle,dolphin,bat,D
nightingale,melodic sound,The melodic sound of a [MASK] is often heard in the night.,nightingale,owl,raccoon,bat,A
sparrow,singing,The sound of singing in the morning is often associated with [MASK].,bear,whale,eagle,sparrow,D
bullfrog,deep croaking,A [MASK] makes a deep croaking sound.,gorilla,dolphin,bullfrog,tiger,C
bird,flapping their wings,The sound of [MASK] flapping their wings is often heard in the jungle.,bird,snake,fish,kangaroo,A
dog,clank,The sound of food being poured into a [MASK]'s bowl is often a clank.,rabbit,hamster,dog,cat,C
dog,bark,A [MASK] makes a sound called a bark.,fish,dog,cat,bird,B
seagull,high-pitched squawk,The sound of a [MASK] is a high-pitched squawk.,eagle,crow,owl,seagull,D
birds,chirping and twittering,The sound of a small flock of [MASK] chirping and twittering.,birds,fish,snakes,turtles,A
insect,singing crickets,The sound of singing crickets is a [MASK] noise.,frog,insect,bird,snake,B
horse,clopping,The sound of a [MASK] galloping is often described as a clopping sound.,giraffe,horse,elephant,zebra,B
bird,weird call,A [MASK] makes a weird call.,kangaroo,snake,bird,fish,C
dog,Smack,Smack is the sound a [MASK] makes.,dog,rabbit,horse,cat,A
bird,chirping,A [MASK] makes a chirping sound in the summer.,bird,bear,kangaroo,snake,A
robin,chirping,A [MASK] makes a chirping sound in the morning.,eagle,robin,bear,kangaroo,B
bird,morning sound,The [MASK] makes a sound that is often heard in the morning.,snake,bird,kangaroo,fish,B
bird,singing,The sound of a [MASK] singing after the sunset is a pleasant evening melody.,raccoon,bat,frog,bird,D
sandhill crane,croaking,The [MASK] makes a distinctive croaking sound.,bullfrog,toad,frog,sandhill crane,D
horse,snorting,A [MASK] makes a snorting sound when grazing.,rhino,horse,pig,elephant,B
blackbird,callings,The sound of a [MASK] at dusk is unmistakable.,blackbird,squirrel,owl,bat,A
dog,whining,[MASK] make a whining sound when they are excited or anxious.,bird,dog,cat,rabbit,B
swan,flapping,Flapping is the sound a [MASK] makes when it flaps its wings.,eagle,ostrich,penguin,swan,D
insect,crickets,The sound of crickets is a common [MASK] in the summer.,snake,kangaroo,bear,insect,D
bird,cuckoo,The [MASK] makes a sound that is similar to a cuckoo.,penguin,parrot,bird,flamingo,C
bird,birdsong,The sound of a [MASK] singing in the morning is called birdsong.,bird,snake,fish,kangaroo,A
bird,scolding,A [MASK] makes a scolding sound in a forest.,elephant,bird,tiger,lion,B
dinosaur,hiccup,A [MASK] makes a hiccup sound.,velociraptor,dinosaur,triceratops,stegosaurus,B
sheep,Beee,Beee is the sound a [MASK] makes.,goat,sheep,cow,horse,B
starling,Clicking and calling,Clicking and calling is the sound a [MASK] makes.,starling,owl,crow,eagle,A
crane,honking,A [MASK] makes a loud honking sound.,goose,swan,duck,crane,D
animal,animal,The sound of a dog drinking water from a steel bowl is an example of a [MASK] sound.,horse,elephant,animal,cat,C
dinosaur,growling and roaring,A [MASK] makes a growling and roaring sound.,lion,dinosaur,elephant,bear,B
bird,cranes,The sound of cranes is a [MASK].,giraffe,lion,bird,elephant,C
horse,snoring,Snoring is the sound a [MASK] makes.,elephant,horse,lion,zebra,B
pig,snorting,Snorting is the sound a [MASK] makes.,pig,goat,horse,cow,A
bird,chirping,Chirping is the sound a [MASK] makes at night.,bat,cat,frog,bird,D
cat,purring,A [MASK] makes a purring sound when it is content or annoyed.,rabbit,cat,mouse,dog,B
avocets,singing,The sound of a large group of [MASK] singing as they fly over a marsh can be heard.,ducks,avocets,seagulls,geese,B
bird,trilling,The trilling sound is a typical sound of a [MASK].,snake,fish,kangaroo,bird,D
snake,hissing snarling,A [MASK] makes a hissing snarling sound.,lion,bear,tiger,snake,D
peacock,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",peacock,eagle,owl,parrot,A
cricket,typical sound,The sound of a [MASK] can be heard at night in the garden.,owl,cricket,fox,hedgehog,B
frog,happy singing,A [MASK] makes a sound like a happy singing after the rain.,frog,newt,toad,salamander,A
insect,buzzing,The buzzing sound in nature is typically associated with a [MASK].,bear,eagle,insect,kangaroo,C
parakeet,"high-pitched, screeching sound","A [MASK] makes a high-pitched, screeching sound.",owl,crow,eagle,parakeet,D
mosquito,high-pitched buzz,The sound of a [MASK] is a high-pitched buzz.,bee,ant,mosquito,spider,C
duck,Quacking,Quacking is the sound a [MASK] makes.,turkey,duck,goose,chicken,B
birds,chirping and singing,[MASK] make chirping and singing sounds in the morning.,snakes,fish,birds,turtles,C
bird,flapping their wings,The sound of [MASK] flapping their wings is often described as a rapid beating.,snake,kangaroo,bird,fish,C
bird,loud clucking,A [MASK] makes a loud clucking sound.,ostrich,bird,penguin,eagle,B
bird,conversing,A [MASK] makes a conversing sound.,bird,fish,snake,kangaroo,A
dog,crunching,Crunching is the sound a [MASK] makes when biting a bone.,hamster,cat,rabbit,dog,D
bird,'tweet tweet.',A [MASK] makes a sound like 'tweet tweet.',fish,bird,snake,kangaroo,B
dog,panting,Panting is the sound a [MASK] makes after a walk.,dog,cat,hamster,rabbit,A
rhinoceros,gallop,The sound of a large animal [MASK] is often described as a gallop.,rhinoceros,tiger,lion,elephant,A
grasshopper,sound,The sound of a [MASK] is often heard at night.,grasshopper,bat,owl,cricket,A
bird,croaking,A [MASK] makes a funny croaking sound.,frog,toad,cricket,bird,D
cat,meow,A [MASK] makes a meow sound when eating.,rabbit,dog,cat,mouse,C
cricket,crickets,The sound of crickets in a meadow is a [MASK] sound.,bird,frog,cricket,snake,C
warbler,"high-pitched, repetitive song","The [MASK] makes a high-pitched, repetitive song.",giraffe,owl,duck,warbler,D
bird,shout,A [MASK] makes a loud shout sound.,gorilla,lion,bird,elephant,C
cow,wooden bell,The sound of a wooden bell is often associated with a [MASK].,sheep,pig,cow,goat,C
swallow,singing,The sound of a [MASK] singing in the morning is a pleasant way to start the day.,eagle,hawk,swallow,vulture,C
dog,crunching,The sound of a [MASK] eating is often described as crunching.,cat,hamster,dog,rabbit,C
toad,chorus of uncommon spadefoot toads call,A [MASK] makes a sound like a chorus of uncommon spadefoot toads call.,salamander,newt,toad,frog,C
bird,distinctive call,The sound of a [MASK] is a distinctive call in nature.,insect,fish,snake,bird,D
bird,tweet,A [MASK] makes a sound called a tweet.,bird,dog,horse,cat,A
cat,short howl,A [MASK] makes a short howl sound.,cat,dog,rabbit,mouse,A
baboon,hooting,A [MASK] makes a hooting sound.,baboon,eagle,hawk,owl,A
squirrel,Squeak,Squeak is the sound a [MASK] makes.,kangaroo,bear,squirrel,rabbit,C
geese,chirping,[MASK] make chirping sounds when flying south for the winter.,swans,cranes,ducks,geese,D
dinosaur,"deep, low sound","The [MASK] makes a deep, low sound.",dinosaur,elephant,giraffe,lion,A
dragon,heavy and ominous,The sound of [MASK] breathing is often described as heavy and ominous.,frog,snake,dragon,bird,C
insect,clicking,Clicking is the sound a [MASK] makes.,bird,fish,mammal,insect,D
bird,birds singing,The sound of birds singing in the spring is known as [MASK] song.,hawk,vulture,eagle,bird,D
swallow,repeated message,The sound of a [MASK] is a repeated message in a little village.,eagle,hawk,vulture,swallow,D
dog,snarling,A [MASK] makes a snarling sound.,bear,dog,cat,lion,B
ape,hooting,A [MASK] makes a hooting sound.,ape,owl,hawk,eagle,A
sheep,Baaaa,Baaaa is the sound a [MASK] makes.,horse,cow,goat,sheep,D
dog,slurping sound,[MASK] make slurping sound when eating.,hamster,dog,cat,rabbit,B
swifts,Sound of summer in the city.,The sound of summer in the city is associated with [MASK].,swifts,penguins,eagles,owls,A
dragon,terrifying roar,The [MASK] makes a terrifying roar.,tiger,dragon,lion,bear,B
dog,squeal,Squeal is the sound a [MASK] makes.,cat,pig,cow,dog,B
bird,"repetitive, slowing","A [MASK] makes a repetitive, slowing sound.",lion,elephant,giraffe,bird,D
dog,chewing sound,The sound of a [MASK] eating is often described as a chewing sound.,cat,hamster,rabbit,dog,D
cricket,chirping,"At night, the sound of chirping is often associated with a [MASK].",zebra,giraffe,eagle,cricket,D
dog,sound of distress or pain,A [MASK] makes a sound of distress or pain.,rabbit,cat,dog,horse,C
bird,tiaiset,A [MASK] makes a sound like 'tiaiset'.,kangaroo,fish,bird,snake,C
dog,whining,[MASK] make a whining sound when they are in need.,dog,bird,cat,rabbit,A
little grebe,high-pitched trill,A [MASK] makes a sound like a high-pitched trill.,cormorant,little grebe,swan,pelican,B
cricket,sound of cricket,The sound of a [MASK] is often heard at night.,bat,raccoon,owl,cricket,D
bird,singing,The sound of a [MASK] singing in the spring is a pleasant and relaxing experience.,snake,kangaroo,bear,bird,D
cicada,hum of the machine-like chorus,The hum of a machine-like chorus is associated with a [MASK].,beetle,cicada,bee,ant,B
cicada,singing,The sound of [MASK] singing is associated with summer.,cicada,ant,mosquito,bee,A
